0,AggregatedData
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
mean,2002.0,5692985.324,0.004435422259429706,5.327027905830031e-05,0.00035136251338678054,0.0011852881809249864,0.0028365485980073432,0.03627888413472553,0.007820061757023851,0.024970640682459844,0.0034882174542262695,0.5801996671567428,0.05708977794160491,0.9429102220583947,12.774959999999995,0.002343319556319168
std,7.213988723767547,6286633.240450633,0.0022085714586285317,3.086978637977057e-05,0.00012856636440656256,0.0008274347229415354,0.00149930224360961,0.010775435598692068,0.0029817259573060233,0.006948980340871766,0.002008484797472817,0.4302512799894047,0.018630463865488757,0.01863046386548875,3.609442541275178,0.002026869157876027
min,1990.0,453588.0,0.0006535433070866142,1.567398119122257e-06,9.661670950643337e-05,6.396255850234009e-05,0.00034087358324416965,0.015243503436212218,0.002571681162178476,0.011607789811702593,0.0003894267446796965,0.043085569771390865,0.02300445695753785,0.8634160965015142,4.5,0.00020621731455564292
25%,1996.0,1613632.25,0.0027708632471830498,2.9131752781401253e-05,0.00026665828603365414,0.0006541743762504993,0.0016629510827878937,0.027604597510971662,0.005500909710422813,0.01942046581138665,0.0019631641117871523,0.48497477709004333,0.04388936483894487,0.9325576008200029,10.0,0.0009296884014122594
50%,2002.0,3896400.5,0.00406786453602142,4.8343485817404786e-05,0.00033106716387011544,0.0010741205631377886,0.002495949708726228,0.03554794321098742,0.007377305762588181,0.02418450451693413,0.0030810460327022663,0.5132164845918985,0.05384581689114411,0.9461541831088559,12.2,0.0015960237247976583
75%,2008.0,6550699.75,0.005786203470928184,6.90543037161606e-05,0.000416662049554541,0.0015634706047754886,0.003746531672043191,0.042554487551638376,0.009916761236715966,0.02911953883643176,0.004451327653532336,0.5383478487967729,0.06744239917999713,0.9561106351610552,15.1,0.0031877999733826946
max,2014.0,38802500.0,0.012443261771631712,0.00020349243306169964,0.0009863713798977853,0.0062466457907818344,0.007857226405438993,0.07566467763071144,0.021706106527429513,0.050469250210615,0.011576576576576576,3.787661524082478,0.1365839034984858,0.9769955430424622,26.4,0.01906605362964595
0,Alabama
